BaseFreq,RunFreq,AdjFreq,I,P,Var1,Var2,Var3,Var4,Var5
1900,1900,0,120,56,56,21,23,23,0,
1900,1900,0,128,-21,-20,22,23,23,0,
1900,1900,0,152,-70,-71,0,23,23,0,
1900,1900,0,171,-111,-111,1,23,23,0,
1900,1900,0,157,-107,-114,2,23,23,0,
1900,1900,0,117,-37,-73,3,23,23,0,
1900,1900,0,292,233,79,4,23,23,0,
1900,1900,0,355,423,388,5,23,23,0,
1900,1900,0,292,400,380,6,23,23,0,
1900,1900,0,224,303,312,7,23,23,0,
1900,1900,0,224,303,312,7,23,23,0,
1900,1900,0,165,200,196,8,23,23,0,
1900,1900,0,121,76,76,9,23,23,0,
1900,1900,0,123,-5,-6,10,23,23,0,
1900,1900,0,120,16,15,11,23,23,0,
1900,1900,0,255,208,207,12,23,23,0,
1900,1900,0,357,415,409,13,23,23,0,
1900,1900,0,334,439,441,14,23,23,0,
1900,1900,0,330,436,436,15,23,23,0,
1900,1900,0,316,414,412,16,23,23,0,
1900,1900,0,294,386,385,17,23,23,0,
1900,1900,0,277,361,360,18,23,23,0,
1900,1900,0,227,298,298,19,23,23,0,
1900,1900,0,159,191,192,20,23,23,0,
1900,1900,0,119,56,56,21,23,23,0,
1900,1900,0,126,-20,-21,22,23,23,0,
1900,1900,0,152,-71,-70,0,23,23,0,
1900,1900,0,172,-110,-111,1,23,23,0,
1900,1900,0,161,-112,-107,2,23,23,0,
1900,1900,0,126,-62,-37,3,23,23,0,
1900,1900,0,126,-62,-37,3,23,23,0,
1900,1900,0,214,134,233,4,23,23,0,
1900,1900,0,312,390,423,5,23,23,0,
1900,1900,0,309,395,400,6,23,23,0,
1900,1900,0,229,313,303,7,23,23,0,
1900,1900,0,160,195,200,8,23,23,0,
1900,1900,0,121,77,76,9,23,23,0,
1900,1900,0,124,-6,-5,10,23,23,0,
1900,1900,0,119,12,16,11,23,23,0,
1900,1900,0,245,198,208,12,23,23,0,
1900,1900,0,350,405,415,13,23,23,0,
1900,1900,0,337,439,439,14,23,23,0,
1900,1900,0,331,439,436,15,23,23,0,
1900,1900,0,312,411,414,16,24,23,0,
1900,1900,0,294,385,386,17,24,23,0,
1900,1900,0,279,362,361,18,24,23,0,
1900,1900,0,228,300,298,19,24,23,0,
1900,1900,0,159,194,191,20,24,23,0,
1900,1900,0,120,56,56,21,24,23,0,
1900,1900,0,120,56,56,21,24,23,0,
1900,1900,0,127,-21,-20,22,24,23,0,
1900,1900,0,151,-71,-71,0,24,23,0,
1900,1900,0,172,-111,-110,1,24,23,0,
1900,1900,0,161,-113,-112,2,24,23,0,
1900,1900,0,126,-66,-62,3,24,23,0,
1900,1900,0,200,116,134,4,24,23,0,
1900,1900,0,329,388,390,5,24,23,0,
1900,1900,0,298,388,395,6,24,23,0,
1900,1900,0,233,313,313,7,24,23,0,
1900,1900,0,159,196,195,8,24,23,0,
1900,1900,0,121,77,77,9,24,23,0,
1900,1900,0,124,-5,-6,10,24,23,0,
1900,1900,0,119,13,12,11,24,23,0,
1900,1900,0,250,202,198,12,24,23,0,
1900,1900,0,356,409,405,13,24,23,0,
1900,1900,0,338,442,439,14,24,23,0,
1900,1900,0,331,437,439,15,22,23,0,
1900,1900,0,315,413,411,16,22,23,0,
1900,1900,0,293,386,385,17,22,23,0,
1900,1900,0,293,386,385,17,22,23,0,
1900,1900,0,277,360,362,18,22,23,0,
1900,1900,0,228,300,300,19,22,23,0,
1900,1900,0,159,194,194,20,22,23,0,
1900,1900,0,119,57,56,21,22,23,0,
1900,1900,0,127,-20,-21,22,22,23,0,
1900,1900,0,152,-70,-71,0,22,23,0,
